ans	pred	prob
-1.0	-1.0	[ 0.99597134  0.00402866]
-1.0	-1.0	[ 0.79211232  0.20788768]
-1.0	-1.0	[ 0.62983798  0.37016202]
-1.0	-1.0	[ 0.8590184  0.1409816]
-1.0	-1.0	[ 0.97469768  0.02530232]
1.0	1.0	[ 0.20532811  0.79467189]
1.0	-1.0	[ 0.66038899  0.33961101]
1.0	1.0	[ 0.03701433  0.96298567]
1.0	1.0	[ 0.0155183  0.9844817]
1.0	1.0	[ 0.35132616  0.64867384]
-1.0	-1.0	[ 0.54372463  0.45627537]
-1.0	-1.0	[ 0.84426854  0.15573146]
1.0	1.0	[ 0.01033639  0.98966361]
1.0	1.0	[ 0.2692875  0.7307125]
-1.0	-1.0	[ 0.50126755  0.49873245]
-1.0	-1.0	[ 0.56134163  0.43865837]
-1.0	1.0	[ 0.48777018  0.51222982]
-1.0	-1.0	[ 0.59358646  0.40641354]
-1.0	-1.0	[ 0.8239979  0.1760021]
1.0	1.0	[ 0.03156896  0.96843104]
1.0	1.0	[ 0.03860567  0.96139433]
-1.0	-1.0	[ 0.99134039  0.00865961]
-1.0	-1.0	[ 0.85881616  0.14118384]
1.0	1.0	[ 0.30731538  0.69268462]
1.0	1.0	[ 0.01333512  0.98666488]
1.0	1.0	[ 0.4147506  0.5852494]
1.0	-1.0	[ 0.84185514  0.15814486]
1.0	1.0	[ 0.01242312  0.98757688]
-1.0	1.0	[ 0.37704948  0.62295052]
-1.0	1.0	[ 0.44586934  0.55413066]
1.0	1.0	[ 0.39085233  0.60914767]
-1.0	-1.0	[ 0.59547744  0.40452256]
-1.0	-1.0	[ 0.84301178  0.15698822]
1.0	1.0	[ 0.10505117  0.89494883]
1.0	-1.0	[ 0.53778211  0.46221789]
1.0	1.0	[ 0.32628753  0.67371247]
-1.0	-1.0	[ 0.80406266  0.19593734]
-1.0	-1.0	[ 0.65250502  0.34749498]
-1.0	1.0	[ 0.366933  0.633067]
-1.0	1.0	[ 0.15700793  0.84299207]
1.0	1.0	[ 0.01871218  0.98128782]
1.0	1.0	[ 0.23828224  0.76171776]
1.0	1.0	[ 0.33455291  0.66544709]
-1.0	-1.0	[ 0.8139338  0.1860662]
1.0	1.0	[ 0.12791611  0.87208389]
1.0	1.0	[ 0.38484102  0.61515898]
1.0	1.0	[ 0.11297833  0.88702167]
-1.0	-1.0	[ 0.93393455  0.06606545]
-1.0	-1.0	[ 0.7891881  0.2108119]
-1.0	1.0	[ 0.35700861  0.64299139]
1.0	1.0	[ 0.03497295  0.96502705]
-1.0	1.0	[ 0.32261134  0.67738866]
1.0	1.0	[ 0.01216076  0.98783924]
-1.0	-1.0	[ 0.91827836  0.08172164]
1.0	1.0	[ 0.16664007  0.83335993]
1.0	1.0	[ 0.16901849  0.83098151]
1.0	-1.0	[ 0.67613865  0.32386135]
-1.0	-1.0	[ 0.851927  0.148073]
-1.0	-1.0	[ 0.56620688  0.43379312]
-1.0	-1.0	[ 0.84389256  0.15610744]
-1.0	-1.0	[ 0.89082325  0.10917675]
1.0	1.0	[ 0.02136124  0.97863876]
1.0	-1.0	[ 0.81708758  0.18291242]
-1.0	-1.0	[ 0.58691414  0.41308586]
-1.0	-1.0	[ 0.88341715  0.11658285]
-1.0	-1.0	[ 0.93677608  0.06322392]
1.0	1.0	[ 0.24554511  0.75445489]
-1.0	-1.0	[ 0.81100918  0.18899082]
1.0	-1.0	[ 0.64381005  0.35618995]
1.0	1.0	[ 0.46116817  0.53883183]
-1.0	1.0	[ 0.45391038  0.54608962]
-1.0	-1.0	[ 0.58771178  0.41228822]
1.0	1.0	[ 0.44403183  0.55596817]
1.0	1.0	[ 0.19227249  0.80772751]
1.0	1.0	[ 0.24501583  0.75498417]
-1.0	1.0	[ 0.43826017  0.56173983]
1.0	1.0	[ 0.02698105  0.97301895]
-1.0	-1.0	[ 0.64100265  0.35899735]
1.0	-1.0	[ 0.54825458  0.45174542]
-1.0	-1.0	[ 0.92302897  0.07697103]
-1.0	-1.0	[ 0.87104642  0.12895358]
1.0	1.0	[ 0.16624887  0.83375113]
1.0	-1.0	[ 0.63478858  0.36521142]
-1.0	-1.0	[ 0.93236695  0.06763305]
1.0	1.0	[ 0.4947007  0.5052993]
-1.0	-1.0	[ 0.54515567  0.45484433]
-1.0	-1.0	[ 0.94511202  0.05488798]
1.0	1.0	[ 0.26729931  0.73270069]
1.0	1.0	[ 0.14717113  0.85282887]
1.0	1.0	[ 0.1452657  0.8547343]
1.0	1.0	[ 0.2486193  0.7513807]
-1.0	-1.0	[ 0.77818559  0.22181441]
-1.0	-1.0	[ 0.73047511  0.26952489]
-1.0	-1.0	[ 0.59488084  0.40511916]
-1.0	-1.0	[ 0.80015991  0.19984009]
-1.0	-1.0	[ 0.79250328  0.20749672]
1.0	1.0	[ 0.18326142  0.81673858]
1.0	1.0	[ 0.07711714  0.92288286]
-1.0	1.0	[ 0.31159156  0.68840844]
1.0	1.0	[ 0.30194101  0.69805899]
-1.0	-1.0	[ 0.98249053  0.01750947]
-1.0	1.0	[ 0.42358929  0.57641071]
1.0	1.0	[ 0.14049535  0.85950465]
-1.0	-1.0	[ 0.92855846  0.07144154]
1.0	1.0	[ 0.06503402  0.93496598]
-1.0	-1.0	[ 0.80799288  0.19200712]
-1.0	1.0	[ 0.36630642  0.63369358]
-1.0	-1.0	[ 0.9053157  0.0946843]
1.0	1.0	[ 0.14181746  0.85818254]
1.0	1.0	[ 0.08207714  0.91792286]
-1.0	-1.0	[ 0.74023736  0.25976264]
-1.0	-1.0	[ 0.7809292  0.2190708]
-1.0	-1.0	[ 0.71426593  0.28573407]
1.0	1.0	[ 0.33362283  0.66637717]
-1.0	1.0	[ 0.19241677  0.80758323]
-1.0	-1.0	[ 0.91042245  0.08957755]
1.0	1.0	[ 0.14975901  0.85024099]
-1.0	-1.0	[ 0.81728505  0.18271495]
-1.0	-1.0	[ 0.67937276  0.32062724]
-1.0	-1.0	[ 0.64502964  0.35497036]
-1.0	1.0	[ 0.15762707  0.84237293]
-1.0	-1.0	[ 0.86311987  0.13688013]
1.0	1.0	[ 0.29521569  0.70478431]
-1.0	-1.0	[ 0.54775828  0.45224172]
1.0	-1.0	[ 0.7064798  0.2935202]
1.0	1.0	[ 0.28531122  0.71468878]
1.0	1.0	[ 0.41001692  0.58998308]
-1.0	-1.0	[ 0.86234866  0.13765134]
1.0	1.0	[ 0.29739208  0.70260792]
-1.0	-1.0	[ 0.94577906  0.05422094]
-1.0	-1.0	[ 0.7204341  0.2795659]
1.0	-1.0	[ 0.62110797  0.37889203]
-1.0	-1.0	[ 0.84785763  0.15214237]
-1.0	-1.0	[ 0.89119313  0.10880687]
1.0	1.0	[ 0.04558184  0.95441816]
-1.0	-1.0	[ 0.68993658  0.31006342]
1.0	-1.0	[ 0.58321336  0.41678664]
-1.0	1.0	[ 0.39736725  0.60263275]
1.0	1.0	[ 0.25010195  0.74989805]
